model,learning_mode,file_name,file_path,reference_file,BLEU,METEOR,ROUGE-W,BERTScore-P,BERTScore-R,BERT-F1,sum,rank
llama,oneshot,201301,../generate_summray/oneshot/llama/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.2024503585377622,0.25829344069652416,0.7543859599184365,0.8157392740249634,0.8444088101387024,0.8298264741897583,3.705104317506147,263
qwen,oneshot,201301,../generate_summray/oneshot/qwen/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.17589269389646345,0.2735724933468461,0.7102803688357062,0.8189001083374023,0.8411402702331543,0.8298712372779846,3.649657171927557,269
chatgpt,oneshot,201301,../generate_summray/oneshot/chatgpt/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.16864749910652746,0.3432512477220748,0.761061942,0.8318195343017578,0.8753442764282227,0.8530271053314209,3.833151604796183,245
llama,zeroshot,201301,../generate_summray/zeroshot/llama/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.24566254858794714,0.24223831913510654,0.7216494796258901,0.8313880562782288,0.8375882506370544,0.83447665,3.713003304025427,261
qwen,zeroshot,201301,../generate_summray/zeroshot/qwen/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.3302276156677516,0.2567144767387654,0.6732673217723754,0.8419320583343506,0.8464399576187134,0.8441799879074097,3.792761418039366,253
chatgpt,zeroshot,201301,../generate_summray/zeroshot/chatgpt/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.25800065797860655,0.341060601,0.7636363586363637,0.8345752954483032,0.8754068613052368,0.8545036315917969,3.927183406211061,206
llama,fewshot,201301,../generate_summray/fewshot/llama/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.19989454138292861,0.30632125847885705,0.7927927877931986,0.8248670101165771,0.8653602004051208,0.8446285724639893,3.8338643706406716,244
qwen,fewshot,201301,../generate_summray/fewshot/qwen/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.22544949900047492,0.27577297508455356,0.6851851801868999,0.8186898231506348,0.8455963134765625,0.8319255113601685,3.682619302259294,268
chatgpt,fewshot,201301,../generate_summray/fewshot/chatgpt/201301.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201301.txt,0.15243982942768738,0.35456377809813666,0.7288135543450158,0.8284111022949219,0.8693009614944458,0.8483635783195496,3.781892803979757,256
llama,oneshot,201302,../generate_summray/oneshot/llama/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.32270287097523054,0.32728939948046315,0.6597938094335211,0.8387529850006104,0.857258677,0.8479049205780029,3.853702662950433,238
qwen,oneshot,201302,../generate_summray/oneshot/qwen/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.33804846893804197,0.32335442925379027,0.8041237063407376,0.8449753522872925,0.8649880886077881,0.8548645973205566,4.030354642748207,151
chatgpt,oneshot,201302,../generate_summray/oneshot/chatgpt/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.27045717386068685,0.3764353935706392,0.7999999950222222,0.8560020327568054,0.8840567469596863,0.86980325,4.056754592006008,132
llama,zeroshot,201302,../generate_summray/zeroshot/llama/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.41413478157904193,0.3039074068219064,0.6966292085342761,0.8551558256149292,0.8583592176437378,0.8567545413970947,3.984940981590986,174
qwen,zeroshot,201302,../generate_summray/zeroshot/qwen/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.44691498491086246,0.28825176338935504,0.742268036,0.862498403,0.8663364052772522,0.8644131422042847,4.070682735,127
chatgpt,zeroshot,201302,../generate_summray/zeroshot/chatgpt/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.41574731343928417,0.3527255294263122,0.7628865929386759,0.8623971939086914,0.8774401545524597,0.8698536157608032,4.141050400026226,91
llama,fewshot,201302,../generate_summray/fewshot/llama/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.40851665618018906,0.35357458075904674,0.7599999950020001,0.8589171767234802,0.8740609288215637,0.8664228916168213,4.121492229103101,99
qwen,fewshot,201302,../generate_summray/fewshot/qwen/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.3732205711766021,0.23730455673990097,0.7722772227271836,0.8305450677871704,0.8424564599990845,0.8364583253860474,3.892262203815989,227
chatgpt,fewshot,201302,../generate_summray/fewshot/chatgpt/201302.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201302.txt,0.2062068139920867,0.35343381129008633,0.8316831633212431,0.8412246704101562,0.8652331829071045,0.8530600666999817,3.9508417086206586,194
llama,oneshot,201309,../generate_summray/oneshot/llama/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.36677576543876045,0.2756195467655542,0.7912087862142254,0.833914042,0.8442876935005188,0.8390688300132751,3.950874663451499,193
qwen,oneshot,201309,../generate_summray/oneshot/qwen/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4097271846308423,0.4777736205275007,0.857142852,0.8644565939903259,0.8906927704811096,0.8773785829544067,4.377171604735373,18
chatgpt,oneshot,201309,../generate_summray/oneshot/chatgpt/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.298089425,0.4409286490004743,0.7692307642769971,0.8542855978012085,0.8840312957763672,0.8689039945602417,4.115469726541991,100
llama,zeroshot,201309,../generate_summray/zeroshot/llama/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4406203391516028,0.2828450909090909,0.8222222172320989,0.849811316,0.8465999960899353,0.8482025861740112,4.090301545093238,109
qwen,zeroshot,201309,../generate_summray/zeroshot/qwen/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4887015030522766,0.4090970042133739,0.799999995,0.861918569,0.8810158371925354,0.8713625073432922,4.312095415413177,32
chatgpt,zeroshot,201309,../generate_summray/zeroshot/chatgpt/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.4606666515602105,0.4387515494671066,0.8247422630460198,0.8610785603523254,0.8896383047103882,0.8751254677772522,4.350002796913302,27
llama,fewshot,201309,../generate_summray/fewshot/llama/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.32800371581986953,0.24081632653061227,0.7474747424875013,0.8269965648651123,0.8333081603050232,0.8301403522491455,3.806739862257264,251
qwen,fewshot,201309,../generate_summray/fewshot/qwen/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.40377801735818275,0.2567199851082014,0.7499999950021702,0.8355205655097961,0.836677074,0.8360984921455383,3.918794129556262,212
chatgpt,fewshot,201309,../generate_summray/fewshot/chatgpt/201309.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201309.txt,0.2893119451618956,0.42907723950658805,0.8247422630460198,0.8557881116867065,0.8844246864318848,0.8698707222938538,4.153214968126949,80
llama,oneshot,201401,../generate_summray/oneshot/llama/201401.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201401.txt,0.45726600007807644,0.29671903961375956,0.7706421968453835,0.8568791151046753,0.8528224229812622,0.8548459410667419,4.089174715689899,111
qwen,oneshot,201401,../generate_summray/oneshot/qwen/201401.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201401.txt,0.4517377155546641,0.3672284862801109,0.7027026977063551,0.8539474010467529,0.8556081056594849,0.8547769784927368,4.086001384740104,115
chatgpt,oneshot,201401,../generate_summray/oneshot/chatgpt/201401.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201401.txt,0.4118647197591989,0.4328917069507949,0.6949152492430336,0.8674591779708862,0.8829517364501953,0.8751368522644043,4.165219442638513,77
llama,zeroshot,201401,../generate_summray/zeroshot/llama/201401.txt,/home/david/Workspace/research/manuscripts/original_summary/sumamry_201401.txt,0.42385031713453036,0.21849780872598012,0.7346938726842982,0.8607646226882935,0.8288780450820923,0.8445204496383667,3.9112051159535612,215
